问题,A,B,C,D,答案
1、中国共产党领导的多党合作和政治协商制度是一项具有中国特色的(   )。,基本制度,政治制度,社会主义制度,基本政治制度	,： D
2、一九三零年一月，毛泽东在《星星之火，可以燎原》一文中写道:“我所说的中国革命高潮快要到来，决不是如有些人所谓有到来之可能那样完全没有行动意义的、可望而不可即的一种空的东西。它是站在海岸遥望海中已经看得见桅杆尖头了的一只航船，它是立于高山之巅远看东方已见光芒四射喷薄欲出的一轮朝日，它是躁动于母腹中的快要成熟了的一个婴儿。”这段话是针对当时党内和红军中存在的(   )。,在全国范围内先争取群众后建立政权的理论,御敌于国门之外的主张,“红旗到底打得多久”的疑问,一省或数省的首先胜利的设想,： C
3、人民解放军占领南京是在1949年 ( ), 2-23, 3-23, 4-23, 5-23,： C
(   )是中国特色社会主义事业的领导力量。,全国各族人民,精英分子,中国共产党,爱国统一战线,： C
5、党的政治建设是党的根本性建设，决定(   )。,党的建设方向和效果,党的建设的目标和价值,党的建设的方向和价值,党的建设的途径和方法,： A
6、政治体制改革要着重加强(   )，实现社会主义民主政治的制度化、规范化和程序化。,社会建设,司法建设,制度建设,执法建设,： C
7、新冠肺炎疫情发生后，党中央将疫情防控作为头等大事来抓，习近平总书记亲自指挥、亲自部署，坚持把（）放在第一位。,人民生命安全和身体健康,控制疫情和经济社会发展 ,人民生命安全和经济社会发展 ,控制疫情和疫苗研发,： A
8、下列关于全面小康社会的建设进程的认识，错误的是（）。,是一种不平衡的发展过程,必须保持各地平衡发展，不允许出现贫富不均,支持部分地区率先实现现代化,必须坚持以经济建设为中心,： B
9、1925年，国民政府建立于 ( ),南京,北京,广州,武汉,： C
"10、在今天我们所处的时代,任何一个具有最起码爱国情怀的人,都应该大力弘扬(   )。",以爱岗敬业为核心的时代精神,以淡泊名利为核心的时代精神,以改革开放为核心的时代精神,以艰苦奋斗为核心的时代精神,： C
11、深化供给侧结构性改革，必须持续推进(   )，优化市场供求结构。,“一去一降一补”,“二去一降一补”,“三去一降一补”,“四去一降一补”,： C
12、1941年5月，毛泽东做了 ( ) 的报告，整风运动首先在党的高级干部中进行。,《改造我们的学习》,《新民主主义论》,《反对党八股》,《整顿党的作风》,： A
"13、中国特色社会主义共同理想与共产主义远大理想有着内在的联系,它们之间是(   )。",个人理想和社会理想的关系,职业理想和道德理想的关系,阶段性理想和最终理想的关系,有实现可能性的理想和根本不可能实现的空想的关系,： C
14、习近平总书记多次指出，小康不小康，关键看（）。,老乡,农民,居民,工人,： A
15、“文革”结束后，党的(   )重新确立解放思想、实事求是的思想路线。,十一届三中全会,十二大,十三大,十四大,： A
16、江泽民对全面建设小康社会、实现第三步战略目标进行了前瞻性的战略思考。他在党的(   )报告中初步勾画了实现第三步战略目标的蓝图:,十三大,十四大,十五大,十六大,： C
17、在中国近代史上，有一次战争在中国境内进行，而中国却宣称中立。这是 ( ) 战争,甲午,八国联军入侵,鸦片,日俄,： D
18、在新民主主义的经济纲领中，极具特色的一项内容是(   )。,没收封建地主阶级的土地归农民所有,土地革命路线,没收官僚资本归新民主主义国家所有,保护民族工商业,： D
19、中国特色社会主义制度的最大优势是（）。,人民代表大会制度,中国共产党领导的多党合作和政治协商制度,民族区域自治制度,中国共产党领导,： D
20                ，我国第一条跨海铁路粤海铁路正式开通。, 2003年1月7日, 1999年4月15日, 1999年6月15日, 1999年9月15日,:A
21. 1925年6月11日，上海举行群众大会，到会20多万人，全国各地约有1700万人直接参加了运动。这场反对帝国主义的民族运动浪潮，史称( ),.香港海员罢工,.京汉铁路工人罢工,.五卅运动,.北伐战争,:C
22. 1927年中共五大时，全国党员人数已超过( ) 。,.1万人,.3万人,.5万人,.10万人,: C
23.1929年，( ) 决议的中心思想是要用无产阶级思想进行军队和党的建设。,.遵义会议,.古田会议,.八七会议,.龙岩会议,:B
24.( ) 毛泽东总结经验，作了《论持久战》的长篇讲演。,.1931年,.1935年,.1938年,.1945年,: C
25.1945年( ) ，日本代表在投降书.上签字。侵华日军128万人随即向中国投降。,.9月2日,.9月3日,.8月15日,.8月16日,:A
26.全国人民代表大会即最高国家权力机关，是由1954年9月召开的第一届全国人民代表大会第一次会议通过的( ) 正式确立的。,《中国人民政治协商会议共同纲领》,.《中华人民共和国宪法》,.《中华人民共和国中央人民政府组织法》,.《中国人民政治协商会议章程》,: B
27.( ) 我国成功发射第一颗人造地球卫星“东方红一号”。,. 1960年4月,.1965年4月,.1970年4月,.1975年4月,：C
28.1995年5月6日，党中央、国务院进一步作出《关于加速科学技术进步的决定》，正式提出()。,.可持续发展战略,.人才强国战略,.推进城镇化战略,.科教兴国战略,: D
29. 1934年( ) 中旬，中共中央、中革军委率中央红军主力8.6万余人，开始了长征。,.4月,.6月,.8月,.10月,: D
"30、""政权是由枪杆子中取得的""的论断，主要是吸取了 ( )",秋收起义失败的教训,"红军第五次反""国剿""失败的教训",南昌起义失败的教训,国民大革命失败的教训,： D
31、新中国第一部宪法是(   )。, 1949年共同纲领, 1954年宪法, 1975年宪法, 1978年宪法,： B
32、改革开放以来党的全部理论和实践的主题是（）。,实现民族伟大复兴,为人民谋幸福,中国特色社会主义,为人类谋和平 ,： C
33、新中国建立后针对资本主义工商业的政策是 ( ),联营、合作、监督,利用、限制、改造,保护、巩固、发展,管制、征用、没收,： B
34、标志和谈之门被国民党全部关闭、国共关系彻底破裂的是  ( ),下关惨案,较场口惨案,国民党大举进攻中原解放区,国民党逐出中共驻南京、上海、重庆三地代表及工作人员,： D
35、做出中国社会主要矛盾已发生变化的判断是在（）。,十六大,十七大,十八大,十九大,： D
"36、中国共产党在过渡时期总路线的主要内容是""一化三改造""，其中""一化""是指 ( )",社会主义农业机械化,社会主义工业化,社会主义农业合作化,社会主义工业电气化,： B
37、在中华民族的爱国主义发展史上， （）是对国家主权、领土完整及民族感情的认同，也是中华儿女爱国情怀的重要体现。,维护祖国统一、反对祖国分裂,推动民族融合和民族交流,仁爱同胞、热爱工作,诚信友善、传承文化,： A
38、1933年11月，国民党爱国将领蔡廷锴、蒋光鼐以及李济深等发动了抗日反蒋的(  ),皖南事变,北京事变,福建事变,西安事变,： C
39、毛泽东全面总结农业合作化运动基本经验的报告是  ( ),《关于发展农业生产合作社的决议》,《组织起来》,《关于农业生产互助合作的决议(草案)》,《关于农业合作化问题》,： D
40、(   )关系党和人民事业前途命运，关系党的执政基础和执政地位。,全面建成小康,全面深化改革,全面依法治国,全面从严治党,： B
41、党的十九大报告指出，（）是实现社会主义现代化、创造人民美好生活的必由之路。 ,共产主义道路,资本主义道路,科学社会主义道路 ,中国特色社会主义道路 ,： D
42、一九五三年提出的过渡时期总路线的过渡时期是指(   )。,从中华人民共和国成立，到社会主义建成,从国民经济恢复，到社会主义改造完成,从中华人民共和国成立，到社会主义改造基本完成,从总路线提出起，到建成社会主义,： C
43、1987年4月，邓小平在会见西班牙客人时提出了基本实现现代化的“三步走”的战略构思。之后，党的（）将此写进党代会的报告确立下来。,十二大,十三大,十四大,十五大,： B
44、2013年9月和10月，习近平在出访中亚和东南亚国家期间，提出（）的重大倡议。,“共商共建共享”全球治理理念,“建立新型大国关系”,“一带一路”,“构建人类命运共同体”,： C
45、改革是社会主义社会发展的(   )。,直接动力,强大动力,力量源泉,内生动力,： A
46、精准扶贫基本方略其内涵落脚点是（）。,精准理念,内源扶贫,科学扶贫,智志双扶,： A
47、全国人民代表大会是由(   )。,各省、市、县的人民代表大会选出的代表组成,各省、市、县的人民代表大会和军队选出的代表组成,各省、自治区、直辖市的人民代表大会选出的代表组成,各省、自治区、直辖市的人民代表大会和军队选出的代表组成,： D
48、毛泽东认为游击战争在抗日战争中具有 ( ) 地位.,战术,次要,重要,战略,： D
49、建设中国特色社会主义首要的基本理论问题是(   )。,什么是实事求是，怎样坚持实事求是,什么是改革开放，怎样实施改革开放,什么是解放思想，怎样坚持解放思想,什么是社会主义，怎样建设社会主义,： D
50、毛泽东建军思想的核心是(   )。,坚持党对军队的绝对领导,建设全心全意为人民服务的人民军队,坚持正确的战略战术原则,加强对军队的思想政治工作,： A
51、按照“三个代表”要求全面加强党的建设，根本目的就在于保证我们党能够始终保持(   )。,先进性,同人民群众的血肉联系,代表性,正确性,： B
52、习近平总书记指出，农村贫困人口如期脱贫，贫困县全部摘帽、解决区域性整体贫困，是全面建成小康社会的（），是我们作出的庄严承诺。,重要关口,底线任务,核心目标,任务底线,： B
53、因阶级消灭、国家消亡和三大差别消除，就有了(   )。,生产关系实现高度和谐,政治关系实现高度和谐,国家关系实现高度和谐,社会关系实现高度和谐,： D
"54、中国共产党的""八七会议""和""遵义会议""的相同点有 ( ) 政治上、组织上、思想上全力纠正党内错误 ② 毛泽东参加会议提出正确主张 ③ 危急关头挽救了党 ④ 独立自主的妥善解决党内的重大问题",①②③,②③④,②③,①②③④,： C
55、无产阶级政党的组织原则是(   )。,理论联系实际,实事求是,民主集中制,集体领导,： C
56、(   )是最根本的党规党法，各级党组织和每个党员都要按党章办事。,宪法,各种法律,党章,人民代表大会制度,： C
57、实现社会主义的必要政治前提是(   )。,无产阶级政党的领导,建立广泛的革命统一战线,无产阶级的革命斗争,建立无产阶级专政,： D
58、(  )是近代以来中华民族最伟大的梦想。,富国强兵,民族独立,实现中华民族伟大复兴,全面建成小康社会,： C
"59、推进全面依法治国,必须从四个方面统筹推进,没有涉及的是(     )",立法,懂法,司法,执法,： B
"60、依照我国现行宪法的规定, ( )享有选举权和被选举权。",全体公民,全体人民,18周岁以上的公民,18周岁以上有政治权利的公民,： D
61、习近平总书记强调，我们党全面领导、长期执政，面临的最大挑战是（）。,对自身的约束,思想建设,对权力的监督,政治建设,： C
"62、依据宪法规定,中央军委主席、副主席每届任期5年,向(   )负责。",全国人大,全国人大常委会,国家主席,全国人大和全国人大常委会,： D
63、科学发展观的核心立场是(   )。,为人民服务,以人为本,科学发展,以人民为中心,： B
64、“因为中国资产阶级根本上与剥削农民的豪绅地主相混合，中国革命要推翻地主阶级，便不能不同时推翻资产阶级”。这一观点的主要错误是(   )。,忽视了反对帝国主义的必要性,未能区 中国资产阶级的两部,混淆了民主革命和社会主义革命的任务,不承认中国资产阶级与地主阶级的区别,： C
65、从全面建成小康社会到基本实现现代化，再到全面建成（），是新时代中国特色社会主义发展的战略安排。,创新型国家,社会主义现代化强国,社会主义现代化大国,世界一流强国,： B
66、社会主义建设时期，党和毛泽东提出了实现四个现代化的宏伟目标，并强调实现四个现代化关键在于(   )。,农业现代化,工业现代化,国防现代化,科学技术现代化,： D
67、建设社会主义政治文明涉及政治思想、政治制度、(   )、法制建设等方面，是一个系统工程。,体制改革,行政管理,社会治理,政治生态,： B
67、人民当家作主是社会主义民主政治的（）。,根本保证,基本体现,本质特征,必然结果,： C
68、贯穿中国历史发展的一条主线是(   )。,团结统一,爱好和平,爱国主义,自强不息,： C
69、全面小康，覆盖的领域要全面，是(   )全面进步的小康。,“四位一体”,“五位一体”,“六位一体”,“七位一体”,： B
"70、邓小平曾告诫我们“谈到人格,但不要忘记还有一个国格”接下来他指出,特别像我们这样第三世界的发展中国家,没有“国格”,不珍惜自己民族的独立,国家是立不起来的。邓小平这里的“国格”指的是(   )。",民族意识,民族情感,民族自尊心,民族责任,： C
71、1986年，我国第一次制定国家扶贫标准，当年为农民人均年纯收入（）。,1067元,865元,785元,206元,： D
72、1997年，党的十五大首次提出：（）为主体、多种所有制经济共同发展，是我国社会主义初级阶段的一项基本经济制度。,公有制,国有经济,私有制,市场经济,： A
73、新民主主义革命过程中形成和发展起来的新民主主义政治、经济、文化，都是由工人阶级领导的，因而都具有 ( ),民主主义因素,新民主主义因素,社会主义因素,资本主义因素,： C
"74、全国人大十届二次会议期间，温家宝总理在答记者问时，引用了清末诗人丘逢甲《春愁》：""春愁难遣强看山，往事惊心泪欲潸。四百万人同一哭，去年今日割台湾。""请问：这首诗写于哪一年？ ( )",1894,1897,1896,1895,： C
